Genome	Description	TotalLength
GCF_000775605.1	DOIDIIJB_02895 hypothetical protein	424
GCF_000775605.1	DOIDIIJB_02329 hypothetical protein	207
GCF_000775605.1	DOIDIIJB_03093 Thioredoxin	104
GCF_000775605.1	DOIDIIJB_04262 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	262
GCF_005889725.1	DOJFCIPM_03732 hypothetical protein	184
GCF_005889725.1	DOJFCIPM_05280 hypothetical protein	58
GCF_005889725.1	DOJFCIPM_05317 hypothetical protein	169
GCF_005889725.1	DOJFCIPM_08119 hypothetical protein	63
GCF_005889725.1	DOJFCIPM_00566 Type III pantothenate kinase	260
GCF_900111145.1	DOJPPAEB_02461 hypothetical protein	522
GCF_900111145.1	DOJPPAEB_02618 hypothetical protein	214
GCF_900111145.1	DOJPPAEB_03324 hypothetical protein	117
GCF_900111145.1	DOJPPAEB_00557 Transcriptional regulatory protein YpdB	234
GCF_900111145.1	DOJPPAEB_00537 D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	173
GCF_013410355.1	DOKEDMLN_02372 hypothetical protein	197
GCF_013410355.1	DOKEDMLN_00789 hypothetical protein	487
GCF_013410355.1	DOKEDMLN_02729 N-acetylglucosamine repressor	418
GCF_013410355.1	DOKEDMLN_00985 hypothetical protein	242
GCF_013410355.1	DOKEDMLN_02978 HTH-type transcriptional repressor FabR	214
GCF_001488575.1	DOKFBJFB_00230 Protein-export membrane protein SecF	750
GCF_001488575.1	DOKFBJFB_00383 GMP synthase [glutamine-hydrolyzing] subunit A	183
GCF_001488575.1	DOKFBJFB_00150 hypothetical protein	358
GCF_001488575.1	DOKFBJFB_00216 hypothetical protein	113
GCF_001488575.1	DOKFBJFB_00803 1,4-dihydroxy-2-naphthoate octaprenyltransferase	283
GCF_004362525.1	DOKGFGGI_02977 Protein PucC	489
GCF_004362525.1	DOKGFGGI_03428 hypothetical protein	58
GCF_004362525.1	DOKGFGGI_01312 hypothetical protein	474
GCF_004362525.1	DOKGFGGI_01611 Alpha-ketoglutarate-dependent dioxygenase AlkB	216
GCF_004362525.1	DOKGFGGI_01728 GTP cyclohydrolase 1	239
GCF_000757405.2	DOLOAFGK_03111 D-alanyl-D-alanine carboxypeptidase DacD	423
GCF_000757405.2	DOLOAFGK_02015 hypothetical protein	157
GCF_000757405.2	DOLOAFGK_01902 60 kDa chaperonin	549
GCF_000757405.2	DOLOAFGK_00209 Putative aminoacrylate peracid reductase RutC	128
GCF_000757405.2	DOLOAFGK_03511 GTPase Der	494
GCF_000009565.1	DOMKIIMB_02676 L-fuculose-phosphate aldolase	153
GCF_000009565.1	DOMKIIMB_03236 protein required for KefB activity	183
GCF_000009565.1	DOMKIIMB_01090 YceL MFS transporter	402
GCF_000009565.1	DOMKIIMB_02864 putative lipoprotein	136
GCF_000009565.1	DOMKIIMB_01119 hypothetical protein	413
GCF_900112755.1	DOMMKACN_00786 Dipeptide transport system permease protein DppB	355
GCF_900112755.1	DOMMKACN_03748 hypothetical protein	98
GCF_900112755.1	DOMMKACN_02380 Regulatory protein AtoC	469
GCF_900112755.1	DOMMKACN_03329 hypothetical protein	135
GCF_900112755.1	DOMMKACN_03328 Acyl-CoA dehydrogenase, short-chain specific	386
GCF_001591725.1	DOMNINNM_02477 Phosphoribosylformylglycinamidine synthase subunit PurL	739
GCF_001591725.1	DOMNINNM_00413 hypothetical protein	601
GCF_001591725.1	DOMNINNM_00853 DNA mismatch repair protein MutL	695
GCF_001591725.1	DOMNINNM_02652 PTS system beta-glucoside-specific EIIBCA component	428
GCF_001591725.1	DOMNINNM_01328 Bifunctional ligase/repressor BirA	323
GCF_024346585.1	DONECFCJ_01542 Peroxide stress resistance protein YaaA	242
GCF_024346585.1	DONECFCJ_01274 Protein YhgF	709
GCF_024346585.1	DONECFCJ_00782 hypothetical protein	122
GCF_024346585.1	DONECFCJ_01479 Ribonuclease Z	309
GCF_024346585.1	DONECFCJ_00869 Xylose import ATP-binding protein XylG	511
GCF_000722635.1	DONELBPN_03246 hypothetical protein	54
GCF_000722635.1	DONELBPN_03887 Periplasmic nitrate reductase	732
GCF_000722635.1	DONELBPN_02540 hypothetical protein	88
GCF_000722635.1	DONELBPN_00588 GTP cyclohydrolase 1 type 2	253
GCF_000722635.1	DONELBPN_04013 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	251
GCF_902459485.1	DOOFBFEC_00234 Diacylglycerol kinase	119
GCF_902459485.1	DOOFBFEC_02045 Proline--tRNA ligase	501
GCF_902459485.1	DOOFBFEC_00485 putative protein	211
GCF_902459485.1	DOOFBFEC_01367 Long-chain-fatty-acid--CoA ligase	592
GCF_902459485.1	DOOFBFEC_00765 hypothetical protein	59
GCF_000196735.1	DOPBKALK_03344 hypothetical protein	81
GCF_000196735.1	DOPBKALK_00775 Benzaldehyde dehydrogenase YfmT	485
GCF_000196735.1	DOPBKALK_01391 Linearmycin resistance ATP-binding protein LnrL	245
GCF_000196735.1	DOPBKALK_01768 Sulfate adenylyltransferase	382
GCF_000196735.1	DOPBKALK_03671 hypothetical protein	114
GCF_016599145.1	DOPFKKHO_00612 Sulfate adenylyltransferase subunit 2	311
GCF_016599145.1	DOPFKKHO_02375 Citrate synthase 1	433
GCF_016599145.1	DOPFKKHO_00716 Baeyer-Villiger monooxygenase	525
GCF_016599145.1	DOPFKKHO_02881 hypothetical protein	54
GCF_016599145.1	DOPFKKHO_00759 Transcriptional regulator SlyA	171
GCF_000214375.1	DOPIEONA_03026 hypothetical protein	247
GCF_000214375.1	DOPIEONA_03386 Lichenan-specific phosphotransferase enzyme IIA component	109
GCF_000214375.1	DOPIEONA_03495 hypothetical protein	485
GCF_000214375.1	DOPIEONA_02543 Oligopeptide transport ATP-binding protein OppF	335
GCF_000214375.1	DOPIEONA_01518 D-threo-3-hydroxyaspartate dehydratase	371
GCF_015476175.1	DOPNJKGD_01701 hypothetical protein	114
GCF_015476175.1	DOPNJKGD_00363 IS5 family transposase ISLca2	471
GCF_015476175.1	DOPNJKGD_02596 hypothetical protein	225
GCF_015476175.1	DOPNJKGD_00926 hypothetical protein	351
GCF_015476175.1	DOPNJKGD_02533 50S ribosomal protein L2	278
GCF_001042635.1	DPACKPCJ_02535 hypothetical protein	83
GCF_001042635.1	DPACKPCJ_00665 Lipopolysaccharide export system ATP-binding protein LptB	286
GCF_001042635.1	DPACKPCJ_02049 hypothetical protein	98
GCF_001042635.1	DPACKPCJ_01581 Glucosyl-3-phosphoglycerate phosphatase	280
GCF_001042635.1	DPACKPCJ_01144 hypothetical protein	57
GCF_014648295.1	DPADPFHN_02990 hypothetical protein	160
GCF_014648295.1	DPADPFHN_00730 Nucleoside triphosphate pyrophosphohydrolase	273
GCF_014648295.1	DPADPFHN_01274 hypothetical protein	138
GCF_014648295.1	DPADPFHN_02018 Short-chain-enoyl-CoA hydratase	281
GCF_014648295.1	DPADPFHN_00149 Sulfur carrier protein ThiS adenylyltransferase	275
GCF_024300825.1	DPBLOLNI_03826 hypothetical protein	34
GCF_024300825.1	DPBLOLNI_01598 hypothetical protein	65
GCF_024300825.1	DPBLOLNI_00551 Serine hydroxymethyltransferase	415
GCF_024300825.1	DPBLOLNI_02557 2-aminoethylphosphonate--pyruvate transaminase	369
GCF_024300825.1	DPBLOLNI_03363 hypothetical protein	260
GCF_001005305.1	DPBMPBHC_01915 Transcriptional regulatory protein YpdB	234
GCF_001005305.1	DPBMPBHC_01271 hypothetical protein	105
GCF_001005305.1	DPBMPBHC_01430 UDP-N-acetylenolpyruvoylglucosamine reductase	339
GCF_001005305.1	DPBMPBHC_02542 hypothetical protein	698
GCF_001005305.1	DPBMPBHC_02374 hypothetical protein	58
GCF_023227765.1	DPCBAALM_00508 hypothetical protein	295
GCF_023227765.1	DPCBAALM_01439 Elongation factor P	185
GCF_023227765.1	DPCBAALM_01783 Antitoxin PezA	78
GCF_023227765.1	DPCBAALM_01019 hypothetical protein	440
GCF_023227765.1	DPCBAALM_00457 30S ribosomal protein S18	71
GCF_021768385.1	DPCBDNNO_00058 Sec-independent protein translocase protein TatC	251
GCF_021768385.1	DPCBDNNO_04043 hypothetical protein	123
GCF_021768385.1	DPCBDNNO_01112 hypothetical protein	250
GCF_021768385.1	DPCBDNNO_02906 putative protein	411
GCF_021768385.1	DPCBDNNO_04324 hypothetical protein	131
GCF_900105975.1	DPCCHGCN_05013 Transcriptional activator protein CopR	230
GCF_900105975.1	DPCCHGCN_01764 hypothetical protein	255
GCF_900105975.1	DPCCHGCN_00843 hypothetical protein	393
GCF_900105975.1	DPCCHGCN_04195 Sensor protein RstB	425
GCF_900105975.1	DPCCHGCN_00200 HTH-type transcriptional regulator CysB	324
GCA_909129595.2	DPCEDEBG_04434 Formylglycine-generating enzyme	296
GCA_909129595.2	DPCEDEBG_02467 Flavin-dependent monooxygenase, oxygenase subunit HsaA	394
GCA_909129595.2	DPCEDEBG_03437 3-ketoacyl-CoA thiolase	389
GCA_909129595.2	DPCEDEBG_01711 hypothetical protein	147
GCA_909129595.2	DPCEDEBG_02609 Cytochrome bd ubiquinol oxidase subunit 1	490
GCF_902362575.1	DPDBOBNC_01780 Fructosamine deglycase FrlB	331
GCF_902362575.1	DPDBOBNC_02497 hypothetical protein	231
GCF_902362575.1	DPDBOBNC_00811 2,3-dimethylmalate dehydratase large subunit	425
GCF_902362575.1	DPDBOBNC_00698 hypothetical protein	36
GCF_902362575.1	DPDBOBNC_00728 Ribosome-binding factor A	109
GCF_018286635.1	DPDFDBEM_00403 L-fucose-proton symporter	416
GCF_018286635.1	DPDFDBEM_04097 hypothetical protein	293
GCF_018286635.1	DPDFDBEM_03593 hypothetical protein	154
GCF_018286635.1	DPDFDBEM_00951 hypothetical protein	175
GCF_018286635.1	DPDFDBEM_01425 Pesticin receptor	577
GCF_002896965.1	DPDJKOOI_00090 HTH-type transcriptional repressor NagR	235
GCF_002896965.1	DPDJKOOI_05441 ATP-dependent Clp protease ATP-binding subunit ClpA	789
GCF_002896965.1	DPDJKOOI_04909 Ribosome maturation factor RimP	190
GCF_002896965.1	DPDJKOOI_00329 (Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase	488
GCF_002896965.1	DPDJKOOI_00683 hypothetical protein	651
GCF_020735545.1	DPDMCPHJ_03781 PhoH-like protein	363
GCF_020735545.1	DPDMCPHJ_03565 hypothetical protein	43
GCF_020735545.1	DPDMCPHJ_02883 putative protein	381
GCF_020735545.1	DPDMCPHJ_01583 hypothetical protein	482
GCF_020735545.1	DPDMCPHJ_04374 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	282
GCF_014636935.1	DPEBPKBD_00457 hypothetical protein	194
GCF_014636935.1	DPEBPKBD_02955 Sarcosine oxidase subunit delta	90
GCF_014636935.1	DPEBPKBD_03941 Ribosomal large subunit pseudouridine synthase D	340
GCF_014636935.1	DPEBPKBD_00767 Atrazine chlorohydrolase	473
GCF_014636935.1	DPEBPKBD_03033 Histidine-binding periplasmic protein	259
GCF_009931375.1	DPELCJCA_01520 hypothetical protein	264
GCF_009931375.1	DPELCJCA_03208 Manganese efflux system protein MneP	307
GCF_009931375.1	DPELCJCA_02020 Flagellar biosynthetic protein FliP	266
GCF_009931375.1	DPELCJCA_00668 Chaperone protein ClpB	865
GCF_009931375.1	DPELCJCA_04348 hypothetical protein	135
GCF_026109755.1	DPEMJGLD_02166 Glycine cleavage system transcriptional activator	280
GCF_026109755.1	DPEMJGLD_04653 hypothetical protein	131
GCF_026109755.1	DPEMJGLD_00272 Thiazole synthase	255
GCF_026109755.1	DPEMJGLD_04725 Iron-sulfur cluster carrier protein	220
GCF_026109755.1	DPEMJGLD_03434 Inner membrane protein YpjD	288
GCF_000519325.1	DPFDKIDK_01203 Diaminopimelate decarboxylase	527
GCF_000519325.1	DPFDKIDK_04247 RNA polymerase sigma factor FliA	263
GCF_000519325.1	DPFDKIDK_02202 putative protein YcbX	276
GCF_000519325.1	DPFDKIDK_03615 hypothetical protein	251
GCF_000519325.1	DPFDKIDK_01816 hypothetical protein	238
GCF_000023285.1	DPFHBFAA_01374 Phosphoglycerol transferase I	639
GCF_000023285.1	DPFHBFAA_01815 hypothetical protein	344
GCF_000023285.1	DPFHBFAA_00913 hypothetical protein	139
GCF_000023285.1	DPFHBFAA_00425 hypothetical protein	126
GCF_000023285.1	DPFHBFAA_00904 hypothetical protein	120
GCF_014201585.1	DPGBBNOC_01495 Energy-coupling factor transporter ATP-binding protein EcfA3	259
GCF_014201585.1	DPGBBNOC_02255 Lon protease 2	552
GCF_014201585.1	DPGBBNOC_02061 UDP-glucose 6-dehydrogenase YwqF	423
GCF_014201585.1	DPGBBNOC_02262 2-isopropylmalate synthase	514
GCF_014201585.1	DPGBBNOC_00659 hypothetical protein	193
GCA_002279105.1	DPGFONAB_01567 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	259
GCA_002279105.1	DPGFONAB_00647 hypothetical protein	52
GCA_002279105.1	DPGFONAB_00788 putative oxidoreductase	254
GCA_002279105.1	DPGFONAB_00232 Histidine N-alpha-methyltransferase	325
GCA_002279105.1	DPGFONAB_00481 D-alanine--D-alanine ligase B	125
GCF_006704185.1	DPHJJHLM_01644 Phosphoenolpyruvate synthase	134
GCF_006704185.1	DPHJJHLM_00859 Multidrug resistance protein MdtH	406
GCF_006704185.1	DPHJJHLM_01939 Enterobactin exporter EntS	181
GCF_006704185.1	DPHJJHLM_02006 hypothetical protein	65
GCF_006704185.1	DPHJJHLM_00917 hypothetical protein	248
GCF_000284335.1	DPHMHCHJ_00984 30S ribosomal protein S20	87
GCF_000284335.1	DPHMHCHJ_00840 Hypoxanthine-guanine phosphoribosyltransferase	183
GCF_000284335.1	DPHMHCHJ_01312 Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	245
GCF_000284335.1	DPHMHCHJ_00605 Aspartate--tRNA(Asp) ligase	293
GCF_000284335.1	DPHMHCHJ_01477 Putative membrane protein insertion efficiency factor	69
GCF_001012825.1	DPIKHOKC_01050 putative multiple-sugar transport system permease YteP	327
GCF_001012825.1	DPIKHOKC_01756 hypothetical protein	32
GCF_001012825.1	DPIKHOKC_02691 Major biofilm matrix component	204
GCF_001012825.1	DPIKHOKC_00208 Phosphate-import permease protein PhnE	263
GCF_001012825.1	DPIKHOKC_04506 hypothetical protein	63
GCF_014054885.1	DPJBGBMA_00302 hypothetical protein	199
GCF_014054885.1	DPJBGBMA_00333 Toluene efflux pump outer membrane protein TtgI	467
GCF_014054885.1	DPJBGBMA_01332 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	187
GCF_014054885.1	DPJBGBMA_01777 Putative phospholipase A1	377
GCF_014054885.1	DPJBGBMA_00229 hypothetical protein	214
GCF_001434665.1	DPJHCCIN_02045 hypothetical protein	784
GCF_001434665.1	DPJHCCIN_00480 Guanidinium exporter	106
GCF_001434665.1	DPJHCCIN_00064 hypothetical protein	64
GCF_001434665.1	DPJHCCIN_01952 Dye-decolorizing peroxidase YfeX	314
GCF_001434665.1	DPJHCCIN_01004 DNA topoisomerase 4 subunit B	666
GCA_001315245.1	DPKCILNF_00976 hypothetical protein	61
GCA_001315245.1	DPKCILNF_01297 hypothetical protein	39
GCA_001315245.1	DPKCILNF_00601 hypothetical protein	307
GCA_001315245.1	DPKCILNF_00789 hypothetical protein	42
GCA_001315245.1	DPKCILNF_00729 Membrane protein insertase YidC	102
GCF_000255295.1	DPKDDBOE_02154 O-acetyl-ADP-ribose deacetylase	198
GCF_000255295.1	DPKDDBOE_06497 hypothetical protein	216
GCF_000255295.1	DPKDDBOE_04521 hypothetical protein	349
GCF_000255295.1	DPKDDBOE_06443 hypothetical protein	353
GCF_000255295.1	DPKDDBOE_06395 hypothetical protein	369
GCF_018424625.1	DPLEACCN_01730 Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	267
GCF_018424625.1	DPLEACCN_00515 Na(+)-translocating NADH-quinone reductase subunit F	680
GCF_018424625.1	DPLEACCN_01026 hypothetical protein	141
GCF_018424625.1	DPLEACCN_00856 hypothetical protein	490
GCF_018424625.1	DPLEACCN_01011 putative D,D-dipeptide transport system permease protein DdpB	342
GCF_000830905.1	DPLEDDJN_00098 Fe(2+) transporter FeoB	676
GCF_000830905.1	DPLEDDJN_00170 Ribosomal RNA small subunit methyltransferase D	192
GCF_000830905.1	DPLEDDJN_00368 UvrABC system protein B	668
GCF_000830905.1	DPLEDDJN_00606 Pyruvate synthase subunit PorA	390
GCF_000830905.1	DPLEDDJN_00858 Lipopolysaccharide export system ATP-binding protein LptB	270
GCF_012037625.1	DPLFGHPO_00260 Crotonyl-CoA hydratase	260
GCF_012037625.1	DPLFGHPO_00349 hypothetical protein	413
GCF_012037625.1	DPLFGHPO_00476 hypothetical protein	173
GCF_012037625.1	DPLFGHPO_00800 ATP synthase epsilon chain	92
GCF_012037625.1	DPLFGHPO_02505 hypothetical protein	54
GCF_900452925.1	DPLJGFPA_00606 hypothetical protein	328
GCF_900452925.1	DPLJGFPA_01874 hypothetical protein	475
GCF_900452925.1	DPLJGFPA_00035 hypothetical protein	70
GCF_900452925.1	DPLJGFPA_00772 Ribosomal protein S12 methylthiotransferase RimO	435
GCF_900452925.1	DPLJGFPA_00817 hypothetical protein	220
GCF_007632255.1	DPLODNCP_01809 Free methionine-R-sulfoxide reductase	165
GCF_007632255.1	DPLODNCP_01797 hypothetical protein	315
GCF_007632255.1	DPLODNCP_01369 Lysine/arginine/ornithine-binding periplasmic protein	260
GCF_007632255.1	DPLODNCP_00024 hypothetical protein	162
GCF_007632255.1	DPLODNCP_03022 DNA damage-inducible protein I	98
GCF_000975115.1	DPLPAIJN_02103 hypothetical protein	112
GCF_000975115.1	DPLPAIJN_00103 UvrABC system protein B	689
GCF_000975115.1	DPLPAIJN_00972 6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating	477
GCF_000975115.1	DPLPAIJN_00190 Protein PafC	306
GCF_000975115.1	DPLPAIJN_00589 Phosphate transport system permease protein PstA 1	317
GCF_001939065.1	DPMEOKAC_00699 hypothetical protein	126
GCF_001939065.1	DPMEOKAC_03296 CdaA regulatory protein CdaR	428
GCF_001939065.1	DPMEOKAC_00486 Holliday junction ATP-dependent DNA helicase RuvB	747
GCF_001939065.1	DPMEOKAC_00992 hypothetical protein	145
GCF_001939065.1	DPMEOKAC_03362 hypothetical protein	95
GCF_016862555.1	DPMLJHHC_07145 hypothetical protein	271
GCF_016862555.1	DPMLJHHC_03398 hypothetical protein	320
GCF_016862555.1	DPMLJHHC_01215 Endo-1,4-beta-xylanase Z	397
GCF_016862555.1	DPMLJHHC_01737 hypothetical protein	645
GCF_016862555.1	DPMLJHHC_05379 hypothetical protein	265
GCF_000973085.1	DPMNLBHJ_00738 hypothetical protein	475
GCF_000973085.1	DPMNLBHJ_00116 50S ribosomal protein L29	61
GCF_000973085.1	DPMNLBHJ_00156 HTH-type transcriptional repressor YtrA	121
GCF_000973085.1	DPMNLBHJ_00796 putative protein	293
GCF_000973085.1	DPMNLBHJ_00611 putative ABC transporter ATP-binding protein	560
GCF_900447205.1	DPMOLCBI_01286 Glucose-1-phosphate thymidylyltransferase 1	287
GCF_900447205.1	DPMOLCBI_00199 Cell division protein FtsL	279
GCF_900447205.1	DPMOLCBI_00906 Chloramphenicol efflux pump	388
GCF_900447205.1	DPMOLCBI_01979 Putative O-methyltransferase/MSMEI_4947	215
GCF_900447205.1	DPMOLCBI_00117 hypothetical protein	124
GCF_007994185.1	DPNAECEK_00680 Membrane-bound lytic murein transglycosylase F	291
GCF_007994185.1	DPNAECEK_04306 Acyl-CoA dehydrogenase	398
GCF_007994185.1	DPNAECEK_00387 3-methyl-2-oxobutanoate hydroxymethyltransferase	281
GCF_007994185.1	DPNAECEK_00731 hypothetical protein	75
GCF_007994185.1	DPNAECEK_04126 Exodeoxyribonuclease 7 large subunit	388
GCF_001418205.1	DPNAOIJM_00889 Cytochrome c-type biogenesis protein CcmF	647
GCF_001418205.1	DPNAOIJM_00479 hypothetical protein	358
GCF_001418205.1	DPNAOIJM_02610 hypothetical protein	434
GCF_001418205.1	DPNAOIJM_00476 hypothetical protein	195
GCF_001418205.1	DPNAOIJM_00078 hypothetical protein	789
GCF_001975955.2	DPNGIMDM_00135 hypothetical protein	186
GCF_001975955.2	DPNGIMDM_02678 2-hydroxy-1,4-benzoquinone reductase	189
GCF_001975955.2	DPNGIMDM_01714 putative ABC transporter ATP-binding protein	709
GCF_001975955.2	DPNGIMDM_01866 hypothetical protein	161
GCF_001975955.2	DPNGIMDM_00480 Tryptophan decarboxylase	453
GCF_000454025.1	DPOACNGO_00759 hypothetical protein	294
GCF_000454025.1	DPOACNGO_00272 3-oxoacyl-[acyl-carrier-protein] synthase 3	329
GCF_000454025.1	DPOACNGO_09048 putative Nudix hydrolase NudL	231
GCF_000454025.1	DPOACNGO_00016 hypothetical protein	70
GCF_000454025.1	DPOACNGO_04242 hypothetical protein	84
GCF_024347815.1	DPOBFIHG_00841 HTH-type transcriptional regulator GltC	289
GCF_024347815.1	DPOBFIHG_05636 hypothetical protein	742
GCF_024347815.1	DPOBFIHG_02102 2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	288
GCF_024347815.1	DPOBFIHG_02545 Multiphosphoryl transfer protein	147
GCF_024347815.1	DPOBFIHG_01353 Glutamate--tRNA ligase	472
GCF_000349975.1	DPOHAFGO_01556 hypothetical protein	143
GCF_000349975.1	DPOHAFGO_00233 hypothetical protein	50
GCF_000349975.1	DPOHAFGO_00424 UDP-N-acetylglucosamine 1-carboxyvinyltransferase	421
GCF_000349975.1	DPOHAFGO_02248 Glutathione-regulated potassium-efflux system protein KefC	568
GCF_000349975.1	DPOHAFGO_01428 hypothetical protein	130
GCF_003814005.1	DPOLPLCM_01422 Vitamin B12 import ATP-binding protein BtuD	1293
GCF_003814005.1	DPOLPLCM_00645 Ectoine/glycine betaine/proline transporter EctP	680
GCF_003814005.1	DPOLPLCM_02140 Isochorismate synthase MenF	543
GCF_003814005.1	DPOLPLCM_01742 hypothetical protein	155
GCF_003814005.1	DPOLPLCM_00383 hypothetical protein	62
GCF_011462075.1	DPPFPJPP_02280 Sialic acid transporter NanT	443
GCF_011462075.1	DPPFPJPP_01175 hypothetical protein	192
GCF_011462075.1	DPPFPJPP_02247 hypothetical protein	51
GCF_011462075.1	DPPFPJPP_02546 hypothetical protein	301
GCF_011462075.1	DPPFPJPP_00370 hypothetical protein	110
GCF_000807405.2	DPPOMCEP_03667 Formate hydrogenlyase subunit 5	569
GCF_000807405.2	DPPOMCEP_00831 Chaperone protein DnaJ	381
GCF_000807405.2	DPPOMCEP_00988 Proline--tRNA ligase	572
GCF_000807405.2	DPPOMCEP_00449 hypothetical protein	81
GCF_000807405.2	DPPOMCEP_00426 hypothetical protein	132
GCA_013180795.1	DUYG01000337.1.g19.t1	779
GCA_013180795.1	DUYG01000822.1.g15.t1	1008
GCA_013180795.1	DUYG01000279.1.g4.t1	152
GCA_013180795.1	DUYG01000482.1.g4.t1	274
GCA_013180795.1	DUYG01000659.1.g12.t1	480
GCF_001940005.1	EAABFEII_01732 Triosephosphate isomerase	33
GCF_001940005.1	EAABFEII_02836 hypothetical protein	78
GCF_001940005.1	EAABFEII_01265 Cell division ATP-binding protein FtsE	229
GCF_001940005.1	EAABFEII_02620 hypothetical protein	62
GCF_001940005.1	EAABFEII_02214 hypothetical protein	168
GCF_007830435.1	EAAECPGJ_02335 Triacylglycerol lipase	292
GCF_007830435.1	EAAECPGJ_03242 dTDP-glucose 4,6-dehydratase 2	157
GCF_007830435.1	EAAECPGJ_03112 Nicotinate dehydrogenase FAD-subunit	287
GCF_007830435.1	EAAECPGJ_00916 Regulatory protein RecX	155
GCF_007830435.1	EAAECPGJ_01187 RNase adapter protein RapZ	178
GCF_900105115.1	EAAILAOG_05377 hypothetical protein	470
GCF_900105115.1	EAAILAOG_00661 Modulator of FtsH protease YccA	223
GCF_900105115.1	EAAILAOG_04381 hypothetical protein	402
GCF_900105115.1	EAAILAOG_00585 Peptidyl-prolyl cis-trans isomerase C	91
GCF_900105115.1	EAAILAOG_05152 Colistin resistance protein EmrA	373
GCF_000376425.1	EABDJHIC_01105 Outer-membrane lipoprotein carrier protein	207
GCF_000376425.1	EABDJHIC_02140 hypothetical protein	32
GCF_000376425.1	EABDJHIC_01278 hypothetical protein	123
GCF_000376425.1	EABDJHIC_03231 Tyrosine recombinase XerC	336
GCF_000376425.1	EABDJHIC_01885 HTH-type transcriptional regulator HmrR	130
GCA_021201995.1	EABJGBGG_02056 hypothetical protein	171
GCA_021201995.1	EABJGBGG_02553 hypothetical protein	56
GCA_021201995.1	EABJGBGG_01126 hypothetical protein	76
GCA_021201995.1	EABJGBGG_01785 hypothetical protein	534
GCA_021201995.1	EABJGBGG_01755 Ferredoxin-type protein NapH	301
GCF_009668025.1	EACNJPED_02037 hypothetical protein	893
GCF_009668025.1	EACNJPED_00245 Anaerobic nitric oxide reductase transcription regulator NorR	653
GCF_009668025.1	EACNJPED_03013 hypothetical protein	62
GCF_009668025.1	EACNJPED_00879 hypothetical protein	507
GCF_009668025.1	EACNJPED_06154 Alpha-acetolactate decarboxylase	266
GCF_000336755.1	EACONGCK_00701 Crotonobetainyl-CoA reductase	387
GCF_000336755.1	EACONGCK_02821 hypothetical protein	72
GCF_000336755.1	EACONGCK_02778 hypothetical protein	435
GCF_000336755.1	EACONGCK_02561 hypothetical protein	305
GCF_000336755.1	EACONGCK_03358 hypothetical protein	200
GCF_000312565.1	EADAHPBN_01490 Beta-(1-->2)glucan export ATP-binding/permease protein NdvA	602
GCF_000312565.1	EADAHPBN_00324 hypothetical protein	114
GCF_000312565.1	EADAHPBN_01060 DNA gyrase subunit B	810
GCF_000312565.1	EADAHPBN_01459 30S ribosomal protein S10	102
GCF_000312565.1	EADAHPBN_00322 Inner membrane transport protein YdhC	150
GCF_003020845.1	EADEJEPH_03831 putative protein YmcA	143
GCF_003020845.1	EADEJEPH_01477 Cryptic catabolic NAD-specific glutamate dehydrogenase GudB	428
GCF_003020845.1	EADEJEPH_05249 hypothetical protein	126
GCF_003020845.1	EADEJEPH_00072 tRNA(Ile)-lysidine synthase	476
GCF_003020845.1	EADEJEPH_05103 Cysteine desulfurase SufS	406
GCF_018271995.1	EADIIMLJ_00104 hypothetical protein	150
GCF_018271995.1	EADIIMLJ_03442 hypothetical protein	335
GCF_018271995.1	EADIIMLJ_03138 hypothetical protein	881
GCF_018271995.1	EADIIMLJ_02713 L-threonine 3-dehydrogenase	343
GCF_018271995.1	EADIIMLJ_04270 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	286
GCF_021233435.1	EADOIFKA_03347 hypothetical protein	49
GCF_021233435.1	EADOIFKA_01975 hypothetical protein	79
GCF_021233435.1	EADOIFKA_02508 hypothetical protein	139
GCF_021233435.1	EADOIFKA_02403 50S ribosomal protein L15	153
GCF_021233435.1	EADOIFKA_01187 hypothetical protein	220
GCF_013408415.1	EAEDKLDG_00069 Glutamine transport ATP-binding protein GlnQ	262
GCF_013408415.1	EAEDKLDG_03029 30S ribosomal protein S14 type Z	61
GCF_013408415.1	EAEDKLDG_00053 Putrescine aminotransferase	428
GCF_013408415.1	EAEDKLDG_00008 Ribonuclease VapC9	133
GCF_013408415.1	EAEDKLDG_00353 hypothetical protein	148
GCF_000017865.1	EAEGIGGI_00553 hypothetical protein	159
GCF_000017865.1	EAEGIGGI_01036 hypothetical protein	453
GCF_000017865.1	EAEGIGGI_02042 DNA primase	560
GCF_000017865.1	EAEGIGGI_00833 Uridylate kinase	233
